station,dttm,tz,dttm_in,dttm_out,date,time_in,utc_in,time_out,lon,lat,temp,sal,fluor,moon_phase,moon_mode,cloud_cover,wind,current,heading,tow_dist,biomass,biodens,phyl_num,phyl_vol,lept_num,lept_vol,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,sarg_ni_piece_tot,sarg_ni_mass_tot,sarg_ni_piece_clump,sarg_ni_mass_clump,sarg_ni_piece_frag,sarg_ni_mass_frag,sarg_nii_piece_tot,sarg_nii_mass_tot,sarg_nii_piece_clump,sarg_nii_mass_clump,sarg_nii_piece_frag,sarg_nii_mass_frag,sarg_nviii_piece_tot,sarg_nviii_mass_tot,sarg_nviii_piece_clump,sarg_nviii_mass_clump,sarg_nviii_piece_frag,sarg_nviii_mass_frag,sarg_fiii_piece_tot,sarg_fiii_mass_tot,sarg_fiii_piece_clump,sarg_fiii_mass_clump,sarg_fiii_piece_frag,sarg_fiii_mass_frag,sarg_other_piece_tot,sarg_other_mass_tot,sarg_other_piece_clump,sarg_other_mass_clump,sarg_other_piece_frag,sarg_other_mass_frag,sarg_mass_tot,sarg_piece_tot,plas_pieces,plas_pellets,plas_density,tar,tow_desc
C282-001-NT,2018-10-04T12:23:00.000Z,264,2018-10-15T12:23:00.000Z,2018-10-15T12:53:00.000Z,2018-10-15,0.5159722222222222,16:23,0.5368055555555555,-71.15,41.32,18.2,31.8,2820.9,0.38,Risen,1,"17, 200",n/a,300,1822,147,0.08068057080131723,0,0,0,0,48,2,0,0,0,0,48,2,0,0,10,8,10 unidentified gelatinous organisms (8ml),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lots of green plant material. Gelatinous material, small mctophids and small crabs. Three pieces of sea grass."
C282-002-NT,2018-08-28T23:50:00.000Z,1176,2018-10-16T23:50:00.000Z,2018-10-16T00:21:00.000Z,2018-10-16,0.9930555555555555,03:50,0.014583333333333332,-70.55833333333334,40.501666666666665,16.8,32.9,2737,0.57,Set,0.3,"17, 291",0.372/142,14,1927.46,71.5,0.03709545204569745,0,0,0,0,0,0,0,0,7,1.2,7,1.2,"3 Fish Larvae (0.3ml), 2 Sargassum Crab (0.5ml), 2 Sargassum Shrimp (0.4ml)",0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,47,2,36,5,11,0,0,0,0,0,0,49,8,0,0,0,1,"Mostly orange biomass with some blue/green copepods, fish larvae, sargassum clumps. Lots of Sargassum assocated mobile fauna (shrimp, crabs) amphipods and siphonophores"
C282-003-NT,2018-10-06T12:16:00.000Z,264,2018-10-17T12:16:00.000Z,2018-10-17T12:46:00.000Z,2018-10-17,0.5111111111111112,16:16,0.5319444444444444,-70.02333333333333,39.88166666666667,20.3,34.86,877.9,0.57,Set,0.4,"15, 270",0.390/316,346,2401.88,3.6,0.0014988259196962379,0,0,0,0,0,0,0,0,3,0.6,3,0.6,"1 Shrimp (0.2ml), 1 Stomatopod (0.2ml), 1 Fish Larvae (0.2ml)",0,0,0,0,4,12,1,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,4,5,0,0,0,0,0,0,17,8,3,0,1249.021599746865,0,"Contained Sargassum and associated fauna including Sargassum shrimp, crabs, siphonophores, vellella Vellella was mostly white, brown and yellow in color. Was a sparse tow, also contained some fish larvae"
C282-005-NT,2018-10-08T11:16:00.000Z,264,2018-10-19T11:16:00.000Z,2018-10-19T11:45:00.000Z,2018-10-19,0.4694444444444445,15:16,0.4895833333333333,-68.665,38.15833333333333,21.8,34.92,1553.8,0.75,Risen,0.8,"13, 304",0.957/088,61,2794,2.8,0.001002147458840372,0,0,0,0,0,0,0,0,3,0.8,3,0.8,"2 Shrimp (0.2ml), 1 Crab (0.6ml)",0,0,0,0,21,136,6,60,15,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2,2,0,0,161,23,12,0,4294.917680744453,0,Sargassum clumps with plastic intermixed. Light tow once the sargassum was removed full of shrimp and other snails.
C282-006-NT,2018-08-31T23:50:00.000Z,1176,2018-10-19T23:50:00.000Z,2018-10-19T00:21:00.000Z,2018-10-19,0.9930555555555555,03:50,0.014583333333333332,-67.77,36.905,26.1,36.41,529.4,0.83,Risen,1,"20.3, 216",0.087/213,256,2323.99,8.5,0.0036575028291860124,0,0,2,0.3,5,0.4,0,0,3,0.7,10,1.4,"1 Bill Fish Larvae (0.1ml), 1 Hatchet Fish (0.4ml), 1 Sargassum Shrimp (0.2ml)",1,0,0,0,15,110,7,100,8,10,0,0,0,0,0,0,1,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,6884.711207879553,0,"Natans 1 Sargassum, Myctophids, small cephalopods, Leptocephali, Halobates, Sargassum fish, shrimp, crab, Hatchet fish, lots of plastic"
C282-007-NT,2018-10-09T11:24:00.000Z,264,2018-10-20T11:24:00.000Z,2018-10-20T11:59:00.000Z,2018-10-20,0.47500000000000003,15:24,0.4993055555555555,-67.07833333333333,36.333333333333336,25.8,36.4,465.4,0.83,Set,0.6,"0.9, 013",0.446/013,335,2726.3,2,7.335949822103216e-4,0,0,0,0,0,0,0,0,1,0.2,1,0.2,1 crab (0.2mL),0,0,0,NA,8,4.5,0,0,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,15,0,0,22,15,0,0,22,15,34.5,31,2,0,733.5949822103216,0,The tow contents include a lot of sargassum with related fauna such as crabs and shrimp but relatively low total biomass
C282-008-NT,2018-09-03T23:21:00.000Z,1176,2018-10-22T23:21:00.000Z,2018-10-22T23:51:00.000Z,2018-10-22,0.9729166666666668,03:21,0.99375,-61.765,36.085,25.2,36.49,521.34,0.95,risen,0.875,"11.2, 335",0.419/246,93,1361.69,8,0.0058750523246847665,0,0,5,1.1,0,0,3,20,2,0.55,10,3.65,"1 stomatopod (0.5mL), 1 flying fish larvae (0.05mL)",0,1,0.4,1 siphonophore (0.4mL),22,19,4,6,18,13,0,0,0,0,0,0,5,12,1,5,4,7,20,39,7,16,13,23,1,83,1,83,0,0,153,48,2,0,1468.7630811711915,0,"Avery diverse tow with a lot of sargassum and related organisms such as shrimp and crabs. Also manmy squid, leptocephali, and other organisms over 2cm in size."
C282-009-NT,2018-10-12T12:13:00.000Z,264,2018-10-23T12:13:00.000Z,2018-10-23T12:44:00.000Z,2018-10-23,0.5090277777777777,16:13,0.5305555555555556,-61.086666666666666,35.53666666666667,24.3,36.54,413.4,0.98,Set,0.75,"11, 076",0.593/292,164,1314.3,5,0.0038043064749296203,0,0,0,0,0,0,0,0,2,0.2,2,0.2,"2 shrimp (0.2mL),",1,2,0.6,2 vellela vellela (0.6mL),18,102,10,91,8,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,2,0,0,1,2,106,20,24,0,18260.671079662177,0,n/a
C282-010-NT,2018-09-04T23:34:00.000Z,1176,2018-10-23T23:34:00.000Z,2018-10-23T00:05:00.000Z,2018-10-23,0.9819444444444444,03:34,0.003472222222222222,-60.973333333333336,34.995,25.2,36.8,410.7,0.98,risen,1,"15.4, 80.9",0.463/244,164.5,1533.35,7,0.004565167769915545,0,0,3,1,0,0,1,0.7,10,1.4,14,3.0999999999999996,"9 shrimp (1mL), 1 fish (0.4mL)",0,3,1.5,3 salps (1.5mL),7,20,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,21,0,13695.503309746635,0,"Tow includes sargassum, plastic, salps, one fish, shrimp, an octopus, eel larvae, dominated by sargassum crabs, color:translucent beige"
C282-011-NT,2018-10-13T11:27:00.000Z,264,2018-10-24T11:27:00.000Z,2018-10-24T11:56:00.000Z,2018-10-24,0.4770833333333333,15:27,0.49722222222222223,-60.53666666666667,34.66,25.2,36.8,403.8,1,Set,0.9,"9.7, 199",0.105/339,280,1844.72,5.5,0.0029814822845743525,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,n/a,18,135,11,130,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,136,21,158,0,85649.85472049958,0,"This sample contains a lot of sargassum with many shrimp and crabs present, but relatively low plankton biomass and a lot of visible plastics"
C282-012-NT,2018-10-14T00:06:00.000Z,264,2018-10-25T00:06:00.000Z,2018-10-25T00:37:00.000Z,2018-10-25,0.004166666666666667,04:06,0.025694444444444447,-60.29666666666667,34.07833333333333,24.7,36.77,411.2,0.99,Set,0.4,"8, 261",0.158/305,358,1809.23,5,0.002763606617179684,0,0,0,0,0,0,0,0,4,3.5,4,3.5,2 Stomatopods (2ml) 2 Fish (1.5ml),0,0,0,NA,6,0,6,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,86,7,26,1,14923.475732770294,0,"A fairly colourless sample with many pteropods, crabs, stomatapods, and one phronemid. Lots of gelatinous clumps"
C282-013-NT,2018-10-14T11:14:00.000Z,264,2018-10-25T11:14:00.000Z,2018-10-25T11:44:00.000Z,2018-10-25,0.4680555555555555,15:14,0.4888888888888889,-60.221666666666664,33.07833333333333,25,36.8,422,0.99,Set,0.45,"25.5, 335.6",0.152/135,94.5,2444.33,3.3,0.0013500632075047149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2045.5503144010834,0,"Minimal floaters, no large organisms. Mostly dominated by whitish organism too small to visually ID, color gray/white, with several bright blue copepods"
C282-014-NT,2018-09-06T23:23:00.000Z,1176,2018-10-25T23:23:00.000Z,2018-10-25T23:54:00.000Z,2018-10-25,0.9743055555555555,03:23,0.9958333333333332,-60.416666666666664,31.671666666666667,25.1,36.94,411.3,0.99,Risen,0.3,"18, 316",0.059/220,159,2269.05,6.5,0.0028646349793966636,0,0,9,3.5,3,1,3,1.5,3,0.4,18,6.4,3 Stomatopods (.4ml),0,0,0,0,26,402,16,390,10,12,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,5,2,2,0,0,0,0,0,0,409,29,61,0,26883.497498953304,0,There was lots of Sargassum in this one and lots of Leptocephali. Light brown in color and lots of gelatinous organisms
C282-015-NT,2018-10-15T11:19:00.000Z,264,2018-10-26T11:19:00.000Z,2018-10-26T11:50:00.000Z,2018-10-26,0.47152777777777777,15:19,0.4930555555555556,-60.681666666666665,30.426666666666666,25.6,36.83,429.6,0.96,Set,0.88,"17, 055",0.280/222,141,1675.05,1.3,7.760962359332558e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7163.965254768515,0,"Sparse tow with little Sargasum, lots of plastic and some fiesty copepods"
C282-016-NT,2018-09-07T23:30:00.000Z,1176,2018-10-26T23:30:00.000Z,2018-10-26T00:00:00.000Z,2018-10-26,0.9791666666666666,03:30,0,-60.763333333333335,29.475,25.4,36.83,511.5,0.96,Risen,0.03,"21, 082",0.256/182,177,2160.88,1.5,6.941616378512458e-4,0,0,4,2,2,0.5,1,0.5,6,4,13,7,2 Pteropods (2ml) 3 Shrimp (1.5ml) 1 Crab (.5ml),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,925.5488504683277,0,"Small tow, large pteropods and some plastic"
C282-017-NT,2018-10-16T11:15:00.000Z,264,2018-10-27T11:15:00.000Z,2018-10-27T11:44:00.000Z,2018-10-27,0.46875,15:15,0.4888888888888889,-60.96666666666667,28.255,26.8,37,506.4,0.91,Set,0.09,"15, 168",0.048/232,168,1684.1,1,5.937889674009857e-4,0,0,0,0,0,0,0,0,1,0,1,0,1 Sargassum Crab,0,0,0,0,50,90,20,65,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,53,7,0,4156.5227718069,0,"Very little biomass, good number of clumps of sargassum many loose floats"
C282-018-NT,2018-09-08T23:23:00.000Z,1176,2018-10-27T23:23:00.000Z,2018-10-27T23:54:00.000Z,2018-10-27,0.9743055555555555,03:23,0.9958333333333332,-61.31166666666667,26.883333333333333,27.4,37.03,581.5,0.91,risen,0.9,"16, 079",0.120/324,159,2159.2,4,0.0018525379770285293,0,0,0,0,2,0.2,3,1,0,0,5,1.2,NA,2,1,1,1 clear gelationous organism (1mL),7,5,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,8,8,21,0,9725.824379399779,0,"A variety of organisms present, reduced amounts of biovolume in pristine sample"
C282-019-NT,2018-10-18T00:09:00.000Z,264,2018-10-29T00:09:00.000Z,2018-10-29T00:39:00.000Z,2018-10-29,0.0062499999999999995,04:09,0.027083333333333334,-62.08166666666666,24.401666666666667,28.15,36.81,506.4,0.83,Risen,1,"20, 003",0.169/176,108,2317,9,0.003884333189469141,0,0,3,0.6,3,0.4,0,0,8,1.8,14,2.8,6 Stomatopods (1.5ml) 1 flying fish (.2ml) 1 hatchet fish (.1ml),2,0,0,0,56,67,15,47,41,20,0,0,0,0,0,0,34,55,0,0,34,55,27,135,8,95,19,40,0,0,0,0,0,0,257,117,1,0,431.59257660768236,0,"There was a lot of Sargassum of various forms stomatapods and some Leptocephali, 3 fish and a plastic rope. Not a lot of biomass"
C282-020-NT,2018-10-18T11:56:00.000Z,264,2018-10-29T11:56:00.000Z,2018-10-29T12:26:00.000Z,2018-10-29,0.49722222222222223,15:56,0.5180555555555556,-62.001666666666665,23.64666666666667,28.3,36.7,511.6,0.74,Set,0.63,"22, 58",0.240/112,67,3232.6,1.5,4.640227680504857e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,7,5,1,1,0,0,1,1,1,6,0,0,1,6,12,9,1,0,309.34851203365713,0,"Small amount of biovolume, some sargassum, small crabs."
C282-021-NT,2018-09-10T23:48:00.000Z,1176,2018-10-29T23:48:00.000Z,2018-10-29T00:19:00.000Z,2018-10-29,0.9916666666666667,03:48,0.013194444444444444,-61.42,23.34,28.2,36.7,534.6,0.74,Risen,0.15,"15, 265",0.298/176,25,1118.45,4,0.0035763780231570477,0,0,2,1,3,1,0,0,25,4.2,30,6.2,23 Stomatopids (4ml) 1 flying fish larvae (.1ml) 1 Crab (.1ml),4,1,0.1,1 Salp (.1ml),10,16,2,6,8,10,0,0,0,0,0,0,1,1,0,0,1,1,5,12,0,0,5,12,0,0,0,0,0,0,29,16,17,0,15199.606598417451,0,"Large amounts of Stomatopods, fair amount of plastics, all ranging within 2 cm and above"
