station,dttm,tz,dttm_in,dttm_out,date,time_in,utc_in,time_out,lon,lat,temp,sal,fluor,moon_phase,moon_mode,cloud_cover,wind,current,heading,tow_dist,biomass,biodens,phyl_num,phyl_vol,lept_num,lept_vol,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,sarg_ni_piece_tot,sarg_ni_mass_tot,sarg_ni_piece_clump,sarg_ni_mass_clump,sarg_ni_piece_frag,sarg_ni_mass_frag,sarg_nii_piece_tot,sarg_nii_mass_tot,sarg_nii_piece_clump,sarg_nii_mass_clump,sarg_nii_piece_frag,sarg_nii_mass_frag,sarg_nviii_piece_tot,sarg_nviii_mass_tot,sarg_nviii_piece_clump,sarg_nviii_mass_clump,sarg_nviii_piece_frag,sarg_nviii_mass_frag,sarg_fiii_piece_tot,sarg_fiii_mass_tot,sarg_fiii_piece_clump,sarg_fiii_mass_clump,sarg_fiii_piece_frag,sarg_fiii_mass_frag,sarg_other_piece_tot,sarg_other_mass_tot,sarg_other_piece_clump,sarg_other_mass_clump,sarg_other_piece_frag,sarg_other_mass_frag,sarg_mass_tot,sarg_piece_tot,plas_pieces,plas_pellets,plas_density,tar,tow_desc
C282-022-NT,2018-10-19T12:00:00.000Z,264,2018-10-30T12:00:00.000Z,2018-10-30T12:31:00.000Z,2018-10-30,0.5,16:00,0.5215277777777778,-60.53333333333333,23.201666666666668,27.7,36.96,532.6,0.64,Risen,1,"22, 251",0.385/189,10,2093.6,1.75,8.358807795185327e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0,0,5,5,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,7,7,0,4,1910.5846388995033,0,Very low overall biovolume so we added all plankton to 100 count sample includeing an orange which seperated from the ship somehow.
C282-023-NT,2018-09-11T23:34:00.000Z,1176,2018-10-30T23:34:00.000Z,2018-10-30T00:05:00.000Z,2018-10-30,0.9819444444444444,03:34,0.003472222222222222,-59.74333333333333,23.083333333333332,27.7,36.9,515.7,0.64,risen,0.6,"12, 260",0.225/135,45,1679.4,3.9,0.0023222579492675954,0,0,0,0,7,1.5,0,0,6,1.7,13,3.2,6 pteropods (1.7mL),3,0,0,0,1,8,1,8,0,0,0,0,0,0,0,0,2,3,0,0,2,3,1,1,1,1,NA,NA,0,0,0,0,0,0,12,4,4,0,2381.8030248898417,0,Murky water with a clump of sargassum and a handful of mytophids
C282-024-NT,2018-10-20T11:53:00.000Z,264,2018-10-31T11:53:00.000Z,2018-10-31T12:24:00.000Z,2018-10-31,0.49513888888888885,15:53,0.5166666666666667,-58.52166666666667,23.051666666666666,28,36.9,535.5,0.52,risen,0.75,"3, 350",0.266/058,98,2158.45,2.5,0.0011582385508119254,0,0,0,0,0,0,0,0,1,1.5,1,1.5,1 sargassum shrimp (1.5mL),0,0,0,none,9,11,3,7,6,4,0,0,0,0,0,0,1,0.1,0,0,1,0.1,4,45,1,40,3,5,0,0,0,0,0,0,56.1,14,27,0,12508.976348768792,0,"Several clumps of fluitans sargassum with fewer clumps of natans I in additon to a large sargassum shrimp, large blue copepods, a sargassum crab and other gelatinous organisms"
C282-025-NT,2018-09-13T02:36:00.000Z,1173,2018-10-31T23:36:00.000Z,2018-10-31T00:06:00.000Z,2018-10-31,0.9833333333333334,03:39,0.004166666666666667,-57.44833333333333,22.795,27.8,36.61,534.4,0.52,Set,0.2,"9.3, 45",0.191/111,140,1832.06,1.52,8.296671506391712e-4,2,0.3,0,0,17,0.95,0,0,11,1.78,30,3.0300000000000002,"6 shrimp (0.58mL), 1 stomatopod (0.2mL), 2 sargasso fish (0.18mL), 1 hatrick (hatchet?) fish (0.2mL)",0,1,0.6,1 salp (0.6mL),NA,0.1,0,0,2,0.05,0,0,0,0,0,0,1,0.1,0,0,1,0.1,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0.4,NA,5,0,2729.1682586814845,1,"There were few fragments of sargassum, so many myctophids, 6 shrimp bigger than 2cm, 2 sargasso fish, and some plastic fragments"
C282-026-NT,2018-10-21T11:29:00.000Z,264,2018-11-01T11:29:00.000Z,2018-11-01T11:59:00.000Z,2018-11-01,0.4784722222222222,15:29,0.4993055555555555,-56.906666666666666,22.323333333333334,27.7,36.86,524.6,0.41,risen,0.3,"14, 063",0.329/201,150,1874.3,1,5.335325188070213e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,9,0,4801.792669263192,0,"Very sparse, lots of tiny plastic pieces and blue copepods"
C282-027-NT,2018-09-13T21:33:00.000Z,1178,2018-11-01T23:33:00.000Z,2018-11-01T00:03:00.000Z,2018-11-01,0.9812500000000001,03:31,0.0020833333333333333,-56.17333333333333,21.511666666666667,27.9,36.71,509.9,0.41,Set,0.05,"23, 012",0.335/253,161,2226.64,1.45,6.512054036575288e-4,0,0,0,0,31,1.2,0,0,8,3.63,39,4.8,"3 shrimp (0.15mL), 1 sargasso fish (0.5mL), 1 lanternfish (0.1mL), 2 stomatopod (0.4mL)",0,2,2.5,2 salps (2.48 mL),0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,"There were 31 myctophids, 3 shrimp, 1 sargasso fish, 2 lantern fish, no plastics present in the sample."
C282-028-NT,2018-10-22T11:43:00.000Z,264,2018-11-02T11:43:00.000Z,2018-11-02T12:14:00.000Z,2018-11-02,0.48819444444444443,15:43,0.5097222222222222,-55.83833333333333,20.883333333333333,28.1,35.8,536.5,0.3,Risen,0.2,"25, 057",0.078/020,122,1648.07,1.4,8.49478480889768e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,7,50,2,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,51,8,0,0,0,0,"Few organisms were present in the tow. there were no nekton over 2cm, although there were a few smaller shrimp but there were no floaters and biomass color was brown"
C282-029-NT,2018-09-14T23:34:00.000Z,1176,2018-11-02T23:34:00.000Z,2018-11-02T00:05:00.000Z,2018-11-02,0.9819444444444444,03:34,0.003472222222222222,-55.721666666666664,20.125,28,36.04,554,0.3,Set,0.15,"1.6, 160",0.089/148,155,1716.7,5,0.0029125648045669017,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,18,12,0,0,0,0,0,0,12,18,0,0,0,0,"large sample with many small (~1.5cm) grey fish, and several halobates. Low sargassum content."
C282-030-NT,2018-10-23T12:26:00.000Z,264,2018-11-03T12:26:00.000Z,2018-11-03T12:55:00.000Z,2018-11-03,0.5180555555555556,16:26,0.5381944444444444,-55.696666666666665,19.415,28.1,35.2,580.2,0.2,Risen,0.85,"28, 058",0.245/208,170,1974.58,1.5,7.596552178184728e-4,0,0,0,0,0,0,0,0,1,0.1,1,0.1,1 Shrimp (.1ml),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1519.3104356369456,0,"A few Sargassum Floats, primarily bright bioluminescent Copepods and some shrimp"
C282-031-NT,2018-10-24T00:01:00.000Z,264,2018-11-04T00:01:00.000Z,2018-11-04T00:31:00.000Z,2018-11-04,6.944444444444445e-4,04:01,0.02152777777777778,-55.715,18.86,28.1,35.35,566.9,0.12,Set,0.12,"19, 096",0.229/051,200,1306.43,6.5,0.004975390950912028,0,0,0,0,7,9,0,0,6,4,13,13,1 Stomatopod (1ml) 5 Shrimp (3ml),26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,8,17,4,32,1,25,3,7,0,0,0,0,0,0,49,12,0,0,0,0,"There were lots of smallshrimp dark red/brown overall, quite gelatinous with only a little sargassum."
C282-032-NT,2018-10-24T11:25:00.000Z,264,2018-11-04T11:25:00.000Z,2018-11-04T11:55:00.000Z,2018-11-04,1125.4756944444443,15:25,1155.4965277777778,-55.64333333333333,18.236666666666668,28.3,35.95,564,0.12,risen,0.95,"15, 133",0.362/230,202,2074,2,9.643201542912247e-4,0,0,0,0,0,0,0,0,1,0.2,1,0.2,1 crab (0.2mL),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,9,10,4,15.5,1,15,3,0.5,0,0,0,0,0,0,25.5,13,3,0,1446.4802314368371,0,Small sample with lots of shrimp and 3 crabs. No fish. One medium clump of sargassum
C282-033-NT,2018-09-16T23:55:00.000Z,1176,2018-11-04T23:55:00.000Z,2018-11-04T00:24:00.000Z,2018-11-04,0.9965277777777778,03:55,0.016666666666666666,-55.708333333333336,17.423333333333332,28.4,36.01,570.1,0.12,Set,0.1,"20, 090",0.052/151,212,1855.5,9.5,0.005119913769873349,0,0,0,0,16,1.6,0,0,0,0,16,1.6,0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,There were 16 myctophids and many myctophid larvae along with 12 halobates and there is a large brown clump of living matter dotted with blue specks
C282-034-NT,2018-10-25T11:39:00.000Z,264,2018-11-05T11:39:00.000Z,2018-11-05T12:10:00.000Z,2018-11-05,0.48541666666666666,15:39,0.5069444444444444,-55.71333333333333,16.806666666666665,28.4,36.03,548.1,0.06,risen,0.8,"21, 105",0.219/288,192,1715.02,1.5,8.746253688003638e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,5,22,NA,NA,5,22,1,1,NA,NA,1,1,0,0,NA,NA,NA,NA,23,6,0,0,0,0,"Very sparse, with mostly gelatinous organisms. A fragment of sargassum and some giant blue copepods"
C282-035-NT,2018-10-26T00:35:00.000Z,264,2018-11-06T00:35:00.000Z,2018-11-06T01:05:00.000Z,2018-11-06,0.024305555555555556,04:35,0.04513888888888889,-55.745,16.098333333333333,28.2,35.01,519.4,0.02,Set,1,"20, 95",0.226/249,200,2460.9,19,0.007720752570197895,1,0.1,1,1.2,6,1.5,0,0,13,2.4,21,5.199999999999999,3 Shrimp (0.6ml) 2 Fish Larvae (0.6ml) 8 Stomatopods (1.2ml),2,4,0.8,4 Siphonophores (.8ml),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A very productive and diverse tow with lots of Myctophids, Stomatapods and Siphonophores"
C282-036-NT,2018-10-26T11:46:00.000Z,264,2018-11-06T11:46:00.000Z,2018-11-06T12:16:00.000Z,2018-11-06,0.4902777777777778,15:46,0.5111111111111112,-55.99166666666667,15.633333333333333,28.2,36.3,606.3,0.02,Risen,1,"15, 115",0.230/271,235,2519.56,7.5,0.00297671021924463,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,63,40,0,0,63,40,0,0,0,0,0,0,14,30,0,0,14,30,0,0,0,0,0,0,0,0,0,0,0,0,70,77,0,0,0,0,Blue and grey booopy and boogers
C282-037-NT,2018-09-18T23:25:00.000Z,1176,2018-11-06T23:25:00.000Z,2018-11-06T23:56:00.000Z,2018-11-06,0.9756944444444445,03:25,0.9972222222222222,-55.75333333333333,15.62,28.2,35.809,561.22,0,Set,0.5,"17, 103",n/a,213,1381.66,17,0.012304040067744597,0,0,0,0,0,0,0,0,0,0,0,0,2 Crabs (2.5ml) 6 Shrimp (2ml),8,0,0,0,200,353,51,200,149,153,0,0,0,0,0,0,43,165,5,35,38,130,82,360,27,300,55,60,0,0,0,0,0,0,878,325,0,0,0,0,"Happy shrimp about, visable blue copepods and brown goop"
C282-038-NT,2018-10-27T11:35:00.000Z,264,2018-11-07T11:35:00.000Z,2018-11-07T12:05:00.000Z,2018-11-07,0.4826388888888889,15:35,0.5034722222222222,-55.693333333333335,15.01,28.3,34.4,574.4,0,risen,0.93,"23, 083",0.222/013,182,1102.15,2.5,0.0022682937894116044,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very little in tow, a few very small crabs"
C282-039-NT,2018-09-19T23:28:00.000Z,1176,2018-11-07T23:28:00.000Z,2018-11-07T23:59:00.000Z,2018-11-07,0.9777777777777777,03:28,0.9993055555555556,-55.531666666666666,14.226666666666667,28.4,33.86,636.34,0,Set,0.25,"18, 199",0.187/159,201,1909,13,0.006809848088004191,0,0,0,0,0,0,0,0,3,1.3,3,1.3,"1 sargassum fish (1mL), 1 pipefish (0.1mL), 1 flying fish (0.2mL)",6,1,0.2,1 salp (0.2 mL),26,23,0,0,26,23,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,0,11,25,0,0,0,0,0,0,48,37,1,0,523.8344683080147,0,"Moderate floaters; halobates, sargassum. Biomass generally pink with abundant copepods and shrimp. Several small fish, a flying fish, pipe fish, sargasssum fish, and porpita porpita"
C282-040-NT,2018-10-28T11:47:00.000Z,264,2018-11-08T11:47:00.000Z,2018-11-08T12:16:00.000Z,2018-11-08,0.4909722222222222,15:47,0.5111111111111112,-55.515,13.365,28.6,34.67,577.9,0.01,Risen,0.885,"18, 103",0.636/330,189,1590.03,19.5,0.01226391954868776,0,0,0,0,0,0,0,0,25,9,25,9,4 Crab (3ml) 19 Shrimp (5ml) 2 Fish (1ml),0,0,0,0,NA,955,NA,780,NA,175,0,0,0,0,0,0,NA,450,NA,0,NA,450,NA,2160,NA,1345,NA,815,NA,391,NA,NA,NA,NA,3956,NA,0,0,0,0,Over 3 5 gallon buckets of Sargassum. Lots of shrimp and large crabs
C282-041-NT,2018-10-29T00:34:00.000Z,264,2018-11-09T00:34:00.000Z,2018-11-09T01:06:00.000Z,2018-11-09,0.02361111111111111,04:34,0.04583333333333334,-55.67166666666667,12.5,28.5,35.08,528.6,0.01,Set,0.5,"22, 84",0.147/211,186,2390.7,14.2,0.005939682938051617,0,0,0,0,3,0.6,0,0,8,1.6,11,2.2,6 Stomatapods (1.4 ml) 2 shrimp (0.2),16,0,0,NA,4,7,0,0,4,7,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,"Pink tow full of crab larvae (megalops) shrimp, stomatapods, and a bubble raft snail and lots of halobates"
C282-042-NT,2018-10-29T13:41:00.000Z,264,2018-11-09T13:41:00.000Z,2018-11-09T14:09:00.000Z,2018-11-09,0.5701388888888889,17:41,0.5895833333333333,-55.85166666666667,11.808333333333334,28.4,34.77,561.2,0.04,Risen,1,"25, 186",0.168/167,70,1240.38,2,0.0016124091004369628,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,806.2045502184814,0,"Few biomass, no floaters, Sargasso or big stuff present in the sample"
C282-043-NT,2018-09-23T23:35:00.000Z,1176,2018-11-11T23:35:00.000Z,2018-11-11T00:05:00.000Z,2018-11-11,0.9826388888888888,03:35,0.003472222222222222,-61.11333333333334,12.28,NA,NA,NA,0.15,Set,0.3,"13, 93",0.160/250,190,1818,8.1,0.004455445544554455,0,0,13,12.1,0,0,0,0,5,4.4,18,16.5,1 Stomatopod ( 1ml) 4 Lobster larvae (3.4ml),22,3,1,3 Salps (1mL),11,7,1,3,10,4,0,0,0,0,0,0,2,1,0,0,2,1,4,1,0,0,4,1,0,0,0,0,0,0,9,17,0,0,0,0,Lots of Leptocephali and goopy stuff a bounty of fish and fun
C282-044-NT,2018-09-29T23:32:00.000Z,1176,2018-11-17T23:32:00.000Z,2018-11-17T00:01:00.000Z,2018-11-17,0.9805555555555556,03:32,6.944444444444445e-4,-61.54666666666667,12.546666666666667,28.6,803.3,34.52,0.68,risen,0.68,"19, 080",n/a,167,2368.4,5.39,0.002275798007093396,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,n/a,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,3,0,1266.6779260260091,0,Large biovolume with seaweed. One stomatopod and one juvenile reef fish.
C282-045-NT,2018-11-15T20:19:00.000Z,54,2018-11-18T02:19:00.000Z,2018-11-18T03:20:00.000Z,2018-11-18,0.09652777777777777,02:49,0.1388888888888889,-61.70333333333333,12.326666666666666,28.6,594.9,34.8,0.76,set,0.125,"20, 091",n/a,169,1621,12,0.007402837754472548,0,0,0,0,0,0,0,0,4,1.2,4,1.2,4 trumpetfish (1.2mL),19,0,0,n/a,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,0,"Lots of biovolume, four trumpetfish larvae (we think)"
